team_name,team_abbrev,player_name,position_name,depth_label,status,player_url,section_title
Atlanta Hawks,atl,Trae Young,PG,Starter,,https://www.espn.com/nba/player/_/id/4277905/trae-young,Depth Chart
Atlanta Hawks,atl,Terance Mann,PG,2nd,,https://www.espn.com/nba/player/_/id/3907823/terance-mann,Depth Chart
Atlanta Hawks,atl,Dyson Daniels,SG,Starter,,https://www.espn.com/nba/player/_/id/4869342/dyson-daniels,Depth Chart
Atlanta Hawks,atl,Caris LeVert,SG,2nd,,https://www.espn.com/nba/player/_/id/2991043/caris-levert,Depth Chart
Atlanta Hawks,atl,Vit Krejci,SF,2nd,,https://www.espn.com/nba/player/_/id/4578893/vit-krejci,Depth Chart
Atlanta Hawks,atl,Garrison Mathews,SG,4th,,https://www.espn.com/nba/player/_/id/3913180/garrison-mathews,Depth Chart
Atlanta Hawks,atl,Zaccharie Risacher,SF,Starter,,https://www.espn.com/nba/player/_/id/5211175/zaccharie-risacher,Depth Chart
Atlanta Hawks,atl,Georges Niang,PF,2nd,,https://www.espn.com/nba/player/_/id/2990969/georges-niang,Depth Chart
Atlanta Hawks,atl,Mouhamed Gueye,PF,Starter,,https://www.espn.com/nba/player/_/id/4712863/mouhamed-gueye,Depth Chart
Atlanta Hawks,atl,Dominick Barlow,C,2nd,,https://www.espn.com/nba/player/_/id/4870562/dominick-barlow,Depth Chart
Atlanta Hawks,atl,Onyeka Okongwu,C,Starter,,https://www.espn.com/nba/player/_/id/4431680/onyeka-okongwu,Depth Chart
Atlanta Hawks,atl,Clint Capela,C,4th,O,https://www.espn.com/nba/player/_/id/3102529/clint-capela,Depth Chart
Atlanta Hawks,atl,Larry Nance Jr.,C,5th,O,https://www.espn.com/nba/player/_/id/2580365/larry-nance-jr,Depth Chart
Boston Celtics,bos,Derrick White,PG,Starter,,https://www.espn.com/nba/player/_/id/3078576/derrick-white,Depth Chart
Boston Celtics,bos,Jrue Holiday,SG,Starter,,https://www.espn.com/nba/player/_/id/3995/jrue-holiday,Depth Chart
Boston Celtics,bos,Payton Pritchard,SG,2nd,,https://www.espn.com/nba/player/_/id/4066354/payton-pritchard,Depth Chart
Boston Celtics,bos,JD Davison,PG,4th,,https://www.espn.com/nba/player/_/id/4576085/jd-davison,Depth Chart
Boston Celtics,bos,Jaylen Brown,SF,Starter,O,https://www.espn.com/nba/player/_/id/3917376/jaylen-brown,Depth Chart
Boston Celtics,bos,Baylor Scheierman,SF,3rd,,https://www.espn.com/nba/player/_/id/4593841/baylor-scheierman,Depth Chart
Boston Celtics,bos,Sam Hauser,SF,2nd,,https://www.espn.com/nba/player/_/id/4065804/sam-hauser,Depth Chart
Boston Celtics,bos,Jordan Walsh,SF,4th,,https://www.espn.com/nba/player/_/id/4683689/jordan-walsh,Depth Chart
Boston Celtics,bos,Torrey Craig,SF,5th,,https://www.espn.com/nba/player/_/id/2528693/torrey-craig,Depth Chart
Boston Celtics,bos,Al Horford,PF,Starter,,https://www.espn.com/nba/player/_/id/3213/al-horford,Depth Chart
Boston Celtics,bos,Kristaps Porzingis,C,Starter,,https://www.espn.com/nba/player/_/id/3102531/kristaps-porzingis,Depth Chart
Boston Celtics,bos,Xavier Tillman,PF,4th,,https://www.espn.com/nba/player/_/id/4277964/xavier-tillman,Depth Chart
Boston Celtics,bos,Luke Kornet,C,2nd,,https://www.espn.com/nba/player/_/id/3064560/luke-kornet,Depth Chart
Boston Celtics,bos,Neemias Queta,C,4th,,https://www.espn.com/nba/player/_/id/4397424/neemias-queta,Depth Chart
Brooklyn Nets,bkn,D'Angelo Russell,PG,Starter,O,https://www.espn.com/nba/player/_/id/3136776/dangelo-russell,Depth Chart
Brooklyn Nets,bkn,Keon Johnson,SG,Starter,,https://www.espn.com/nba/player/_/id/4432192/keon-johnson,Depth Chart
Brooklyn Nets,bkn,Reece Beekman,PG,3rd,O,https://www.espn.com/nba/player/_/id/4432187/reece-beekman,Depth Chart
Brooklyn Nets,bkn,Tyson Etienne,PG,4th,,https://www.espn.com/nba/player/_/id/4432887/tyson-etienne,Depth Chart
Brooklyn Nets,bkn,Cam Thomas,PG,5th,O,https://www.espn.com/nba/player/_/id/4432174/cam-thomas,Depth Chart
Brooklyn Nets,bkn,Dariq Whitehead,SG,2nd,,https://www.espn.com/nba/player/_/id/4432735/dariq-whitehead,Depth Chart
Brooklyn Nets,bkn,Tyrese Martin,SG,3rd,,https://www.espn.com/nba/player/_/id/4397179/tyrese-martin,Depth Chart
Brooklyn Nets,bkn,Jalen Wilson,SG,4th,,https://www.espn.com/nba/player/_/id/4431714/jalen-wilson,Depth Chart
Brooklyn Nets,bkn,Ziaire Williams,SF,Starter,O,https://www.espn.com/nba/player/_/id/4433137/ziaire-williams,Depth Chart
Brooklyn Nets,bkn,Maxwell Lewis,SF,2nd,,https://www.espn.com/nba/player/_/id/4684286/maxwell-lewis,Depth Chart
Brooklyn Nets,bkn,Tosan Evbuomwan,SF,3rd,,https://www.espn.com/nba/player/_/id/4597865/tosan-evbuomwan,Depth Chart
Brooklyn Nets,bkn,Cameron Johnson,PF,Starter,O,https://www.espn.com/nba/player/_/id/3138196/cameron-johnson,Depth Chart
Brooklyn Nets,bkn,Trendon Watford,PF,2nd,,https://www.espn.com/nba/player/_/id/4431675/trendon-watford,Depth Chart
Brooklyn Nets,bkn,Drew Timme,C,3rd,,https://www.espn.com/nba/player/_/id/4431695/drew-timme,Depth Chart
Brooklyn Nets,bkn,Nic Claxton,C,Starter,,https://www.espn.com/nba/player/_/id/4278067/nic-claxton,Depth Chart
Brooklyn Nets,bkn,Day'Ron Sharpe,C,2nd,O,https://www.espn.com/nba/player/_/id/4432194/dayron-sharpe,Depth Chart
Brooklyn Nets,bkn,Noah Clowney,C,5th,O,https://www.espn.com/nba/player/_/id/4712896/noah-clowney,Depth Chart
Charlotte Hornets,cha,KJ Simpson,PG,Starter,,https://www.espn.com/nba/player/_/id/4683834/kj-simpson,Depth Chart
Charlotte Hornets,cha,Damion Baugh,PG,2nd,,https://www.espn.com/nba/player/_/id/4431766/damion-baugh,Depth Chart
Charlotte Hornets,cha,Jaylen Sims,PG,3rd,,https://www.espn.com/nba/player/_/id/4397570/jaylen-sims,Depth Chart
Charlotte Hornets,cha,Nick Smith Jr.,SG,Starter,O,https://www.espn.com/nba/player/_/id/4683686/nick-smith-jr,Depth Chart
Charlotte Hornets,cha,Wendell Moore Jr.,PF,3rd,,https://www.espn.com/nba/player/_/id/4592187/wendell-moore-jr,Depth Chart
Charlotte Hornets,cha,Seth Curry,SG,2nd,,https://www.espn.com/nba/player/_/id/2326307/seth-curry,Depth Chart
Charlotte Hornets,cha,Josh Green,SF,Starter,O,https://www.espn.com/nba/player/_/id/4432811/josh-green,Depth Chart
Charlotte Hornets,cha,Josh Okogie,SF,3rd,,https://www.espn.com/nba/player/_/id/4065663/josh-okogie,Depth Chart
Charlotte Hornets,cha,DaQuan Jeffries,SF,2nd,,https://www.espn.com/nba/player/_/id/3913220/daquan-jeffries,Depth Chart
Charlotte Hornets,cha,Miles Bridges,PF,Starter,O,https://www.espn.com/nba/player/_/id/4066383/miles-bridges,Depth Chart
Charlotte Hornets,cha,Tidjane Salaun,PF,2nd,,https://www.espn.com/nba/player/_/id/5211176/tidjane-salaun,Depth Chart
Charlotte Hornets,cha,Mark Williams,C,Starter,,https://www.espn.com/nba/player/_/id/4701232/mark-williams,Depth Chart
Charlotte Hornets,cha,Jusuf Nurkic,C,2nd,,https://www.espn.com/nba/player/_/id/3102530/jusuf-nurkic,Depth Chart
Charlotte Hornets,cha,Moussa Diabate,C,3rd,,https://www.espn.com/nba/player/_/id/4433249/moussa-diabate,Depth Chart
Charlotte Hornets,cha,Taj Gibson,C,4th,,https://www.espn.com/nba/player/_/id/3986/taj-gibson,Depth Chart
Chicago Bulls,chi,Josh Giddey,PG,Starter,,https://www.espn.com/nba/player/_/id/4871145/josh-giddey,Depth Chart
Chicago Bulls,chi,Tre Jones,PG,2nd,O,https://www.espn.com/nba/player/_/id/4395626/tre-jones,Depth Chart
Chicago Bulls,chi,Coby White,SF,Starter,,https://www.espn.com/nba/player/_/id/4395651/coby-white,Depth Chart
Chicago Bulls,chi,Jevon Carter,PG,4th,,https://www.espn.com/nba/player/_/id/3133635/jevon-carter,Depth Chart
Chicago Bulls,chi,Talen Horton-Tucker,PG,5th,,https://www.espn.com/nba/player/_/id/4396991/talen-horton-tucker,Depth Chart
Chicago Bulls,chi,Lonzo Ball,SG,Starter,O,https://www.espn.com/nba/player/_/id/4066421/lonzo-ball,Depth Chart
Chicago Bulls,chi,Kevin Huerter,SG,2nd,,https://www.espn.com/nba/player/_/id/4066372/kevin-huerter,Depth Chart
Chicago Bulls,chi,Dalen Terry,SF,2nd,,https://www.espn.com/nba/player/_/id/4433159/dalen-terry,Depth Chart
Chicago Bulls,chi,Julian Phillips,SF,3rd,,https://www.espn.com/nba/player/_/id/5105553/julian-phillips,Depth Chart
Chicago Bulls,chi,Matas Buzelis,PF,Starter,,https://www.espn.com/nba/player/_/id/4711294/matas-buzelis,Depth Chart
Chicago Bulls,chi,Patrick Williams,PF,2nd,,https://www.espn.com/nba/player/_/id/4431687/patrick-williams,Depth Chart
Chicago Bulls,chi,Zach Collins,C,2nd,,https://www.espn.com/nba/player/_/id/4066650/zach-collins,Depth Chart
Chicago Bulls,chi,Nikola Vucevic,C,Starter,,https://www.espn.com/nba/player/_/id/6478/nikola-vucevic,Depth Chart
Chicago Bulls,chi,Jalen Smith,C,3rd,,https://www.espn.com/nba/player/_/id/4397189/jalen-smith,Depth Chart
Chicago Bulls,chi,E.J. Liddell,C,4th,,https://www.espn.com/nba/player/_/id/4432821/ej-liddell,Depth Chart
Cleveland Cavaliers,cle,Darius Garland,PG,Starter,O,https://www.espn.com/nba/player/_/id/4396907/darius-garland,Depth Chart
Cleveland Cavaliers,cle,Ty Jerome,PG,2nd,,https://www.espn.com/nba/player/_/id/4065733/ty-jerome,Depth Chart
Cleveland Cavaliers,cle,Donovan Mitchell,SG,Starter,,https://www.espn.com/nba/player/_/id/3908809/donovan-mitchell,Depth Chart
Cleveland Cavaliers,cle,Craig Porter Jr.,PG,4th,,https://www.espn.com/nba/player/_/id/4701233/craig-porter-jr,Depth Chart
Cleveland Cavaliers,cle,Emoni Bates,PG,5th,,https://www.espn.com/nba/player/_/id/4433620/emoni-bates,Depth Chart
Cleveland Cavaliers,cle,Sam Merrill,SG,2nd,O,https://www.espn.com/nba/player/_/id/4066757/sam-merrill,Depth Chart
Cleveland Cavaliers,cle,Max Strus,SF,Starter,,https://www.espn.com/nba/player/_/id/4065778/max-strus,Depth Chart
Cleveland Cavaliers,cle,Isaac Okoro,SF,3rd,,https://www.espn.com/nba/player/_/id/4432822/isaac-okoro,Depth Chart
Cleveland Cavaliers,cle,Jaylon Tyson,SG,5th,,https://www.espn.com/nba/player/_/id/4683747/jaylon-tyson,Depth Chart
Cleveland Cavaliers,cle,De'Andre Hunter,SF,2nd,,https://www.espn.com/nba/player/_/id/4065732/deandre-hunter,Depth Chart
Cleveland Cavaliers,cle,Javonte Green,SF,4th,,https://www.espn.com/nba/player/_/id/2596112/javonte-green,Depth Chart
Cleveland Cavaliers,cle,Dean Wade,PF,2nd,,https://www.espn.com/nba/player/_/id/3912848/dean-wade,Depth Chart
Cleveland Cavaliers,cle,Evan Mobley,PF,Starter,,https://www.espn.com/nba/player/_/id/4432158/evan-mobley,Depth Chart
Cleveland Cavaliers,cle,Chuma Okeke,C,4th,,https://www.espn.com/nba/player/_/id/4278052/chuma-okeke,Depth Chart
Cleveland Cavaliers,cle,Jarrett Allen,C,Starter,,https://www.espn.com/nba/player/_/id/4066328/jarrett-allen,Depth Chart
Cleveland Cavaliers,cle,Tristan Thompson,C,3rd,,https://www.espn.com/nba/player/_/id/6474/tristan-thompson,Depth Chart
Dallas Mavericks,dal,Klay Thompson,PG,Starter,,https://www.espn.com/nba/player/_/id/6475/klay-thompson,Depth Chart
Dallas Mavericks,dal,Brandon Williams,PG,2nd,,https://www.espn.com/nba/player/_/id/4397040/brandon-williams,Depth Chart
Dallas Mavericks,dal,Spencer Dinwiddie,PG,3rd,,https://www.espn.com/nba/player/_/id/2580782/spencer-dinwiddie,Depth Chart
Dallas Mavericks,dal,Jaden Hardy,PG,4th,,https://www.espn.com/nba/player/_/id/4868423/jaden-hardy,Depth Chart
Dallas Mavericks,dal,Dante Exum,SF,2nd,,https://www.espn.com/nba/player/_/id/3102528/dante-exum,Depth Chart
Dallas Mavericks,dal,Naji Marshall,SG,Starter,,https://www.espn.com/nba/player/_/id/4278594/naji-marshall,Depth Chart
Dallas Mavericks,dal,Max Christie,SG,2nd,,https://www.espn.com/nba/player/_/id/4432582/max-christie,Depth Chart
Dallas Mavericks,dal,P.J. Washington,SF,Starter,,https://www.espn.com/nba/player/_/id/4278078/pj-washington,Depth Chart
Dallas Mavericks,dal,Anthony Davis,PF,Starter,,https://www.espn.com/nba/player/_/id/6583/anthony-davis,Depth Chart
Dallas Mavericks,dal,Caleb Martin,PF,2nd,,https://www.espn.com/nba/player/_/id/3138160/caleb-martin,Depth Chart
Dallas Mavericks,dal,Olivier-Maxence Prosper,PF,4th,O,https://www.espn.com/nba/player/_/id/4595400/olivier-maxence-prosper,Depth Chart
Dallas Mavericks,dal,Kessler Edwards,PF,5th,,https://www.espn.com/nba/player/_/id/4397693/kessler-edwards,Depth Chart
Dallas Mavericks,dal,Dereck Lively II,C,Starter,,https://www.espn.com/nba/player/_/id/4683688/dereck-lively-ii,Depth Chart
Dallas Mavericks,dal,Daniel Gafford,C,2nd,,https://www.espn.com/nba/player/_/id/4278049/daniel-gafford,Depth Chart
Dallas Mavericks,dal,Kai Jones,C,4th,,https://www.espn.com/nba/player/_/id/4431699/kai-jones,Depth Chart
Dallas Mavericks,dal,Dwight Powell,C,5th,,https://www.espn.com/nba/player/_/id/2531367/dwight-powell,Depth Chart
Denver Nuggets,den,Jamal Murray,PG,Starter,,https://www.espn.com/nba/player/_/id/3936299/jamal-murray,Depth Chart
Denver Nuggets,den,Russell Westbrook,PG,2nd,O,https://www.espn.com/nba/player/_/id/3468/russell-westbrook,Depth Chart
Denver Nuggets,den,Jalen Pickett,PG,3rd,,https://www.espn.com/nba/player/_/id/4398390/jalen-pickett,Depth Chart
Denver Nuggets,den,Christian Braun,SG,Starter,,https://www.espn.com/nba/player/_/id/4431767/christian-braun,Depth Chart
Denver Nuggets,den,Trey Alexander,PG,5th,,https://www.espn.com/nba/player/_/id/4433268/trey-alexander,Depth Chart
Denver Nuggets,den,Julian Strawther,SG,2nd,,https://www.espn.com/nba/player/_/id/4432181/julian-strawther,Depth Chart
Denver Nuggets,den,Michael Porter Jr.,SF,Starter,,https://www.espn.com/nba/player/_/id/4278104/michael-porter-jr,Depth Chart
Denver Nuggets,den,Peyton Watson,PF,2nd,,https://www.espn.com/nba/player/_/id/4576087/peyton-watson,Depth Chart
Denver Nuggets,den,Hunter Tyson,SF,5th,,https://www.espn.com/nba/player/_/id/4395620/hunter-tyson,Depth Chart
Denver Nuggets,den,Aaron Gordon,PF,Starter,,https://www.espn.com/nba/player/_/id/3064290/aaron-gordon,Depth Chart
Denver Nuggets,den,Vlatko Cancar,PF,3rd,,https://www.espn.com/nba/player/_/id/4230557/vlatko-cancar,Depth Chart
Denver Nuggets,den,Zeke Nnaji,PF,4th,,https://www.espn.com/nba/player/_/id/4431690/zeke-nnaji,Depth Chart
Denver Nuggets,den,Nikola Jokic,C,Starter,,https://www.espn.com/nba/player/_/id/3112335/nikola-jokic,Depth Chart
Denver Nuggets,den,DeAndre Jordan,C,3rd,,https://www.espn.com/nba/player/_/id/3442/deandre-jordan,Depth Chart
Detroit Pistons,det,Cade Cunningham,PG,Starter,,https://www.espn.com/nba/player/_/id/4432166/cade-cunningham,Depth Chart
Detroit Pistons,det,Dennis Schroder,PG,2nd,,https://www.espn.com/nba/player/_/id/3032979/dennis-schroder,Depth Chart
Detroit Pistons,det,Marcus Sasser,PG,3rd,,https://www.espn.com/nba/player/_/id/4432107/marcus-sasser,Depth Chart
Detroit Pistons,det,Jaden Ivey,PG,4th,O,https://www.espn.com/nba/player/_/id/4433218/jaden-ivey,Depth Chart
Detroit Pistons,det,Daniss Jenkins,PG,5th,,https://www.espn.com/nba/player/_/id/5107199/daniss-jenkins,Depth Chart
Detroit Pistons,det,Tim Hardaway Jr.,SG,Starter,,https://www.espn.com/nba/player/_/id/2528210/tim-hardaway-jr,Depth Chart
Detroit Pistons,det,Malik Beasley,SG,2nd,,https://www.espn.com/nba/player/_/id/3907822/malik-beasley,Depth Chart
Detroit Pistons,det,Lindy Waters III,PF,3rd,,https://www.espn.com/nba/player/_/id/4066317/lindy-waters-iii,Depth Chart
Detroit Pistons,det,Ausar Thompson,SF,Starter,,https://www.espn.com/nba/player/_/id/4684742/ausar-thompson,Depth Chart
Detroit Pistons,det,Ronald Holland II,SF,2nd,,https://www.espn.com/nba/player/_/id/4683771/ronald-holland-ii,Depth Chart
Detroit Pistons,det,Simone Fontecchio,PF,2nd,,https://www.espn.com/nba/player/_/id/3899664/simone-fontecchio,Depth Chart
Detroit Pistons,det,Tobias Harris,PF,Starter,,https://www.espn.com/nba/player/_/id/6440/tobias-harris,Depth Chart
Detroit Pistons,det,Jalen Duren,C,Starter,,https://www.espn.com/nba/player/_/id/4433621/jalen-duren,Depth Chart
Detroit Pistons,det,Isaiah Stewart,C,2nd,O,https://www.espn.com/nba/player/_/id/4432810/isaiah-stewart,Depth Chart
Detroit Pistons,det,Paul Reed,C,3rd,,https://www.espn.com/nba/player/_/id/4278562/paul-reed,Depth Chart
Detroit Pistons,det,Tolu Smith,C,4th,,https://www.espn.com/nba/player/_/id/4397882/tolu-smith,Depth Chart
Golden State Warriors,gs,Stephen Curry,PG,Starter,O,https://www.espn.com/nba/player/_/id/3975/stephen-curry,Depth Chart
Golden State Warriors,gs,Brandin Podziemski,SG,Starter,O,https://www.espn.com/nba/player/_/id/4709138/brandin-podziemski,Depth Chart
Golden State Warriors,gs,Pat Spencer,PG,3rd,,https://www.espn.com/nba/player/_/id/4592714/pat-spencer,Depth Chart
Golden State Warriors,gs,Moses Moody,SG,2nd,O,https://www.espn.com/nba/player/_/id/4432171/moses-moody,Depth Chart
Golden State Warriors,gs,Taran Armstrong,PG,5th,,https://www.espn.com/nba/player/_/id/4896850/taran-armstrong,Depth Chart
Golden State Warriors,gs,Gary Payton II,SF,2nd,,https://www.espn.com/nba/player/_/id/3134903/gary-payton-ii,Depth Chart
Golden State Warriors,gs,Buddy Hield,SF,Starter,,https://www.espn.com/nba/player/_/id/2990984/buddy-hield,Depth Chart
Golden State Warriors,gs,Gui Santos,SF,4th,,https://www.espn.com/nba/player/_/id/4997536/gui-santos,Depth Chart
Golden State Warriors,gs,Jimmy Butler III,PF,Starter,,https://www.espn.com/nba/player/_/id/6430/jimmy-butler-iii,Depth Chart
Golden State Warriors,gs,Jonathan Kuminga,PF,2nd,,https://www.espn.com/nba/player/_/id/4433247/jonathan-kuminga,Depth Chart
Golden State Warriors,gs,Draymond Green,C,Starter,,https://www.espn.com/nba/player/_/id/6589/draymond-green,Depth Chart
Golden State Warriors,gs,Kevon Looney,C,2nd,,https://www.espn.com/nba/player/_/id/3155535/kevon-looney,Depth Chart
Golden State Warriors,gs,Trayce Jackson-Davis,C,3rd,,https://www.espn.com/nba/player/_/id/4431684/trayce-jackson-davis,Depth Chart
Golden State Warriors,gs,Quinten Post,C,4th,,https://www.espn.com/nba/player/_/id/4593016/quinten-post,Depth Chart
Houston Rockets,hou,Fred VanVleet,PG,Starter,,https://www.espn.com/nba/player/_/id/2991230/fred-vanvleet,Depth Chart
Houston Rockets,hou,Amen Thompson,SF,Starter,,https://www.espn.com/nba/player/_/id/4684740/amen-thompson,Depth Chart
Houston Rockets,hou,Aaron Holiday,PG,3rd,,https://www.espn.com/nba/player/_/id/3922230/aaron-holiday,Depth Chart
Houston Rockets,hou,Reed Sheppard,SG,3rd,,https://www.espn.com/nba/player/_/id/4711272/reed-sheppard,Depth Chart
Houston Rockets,hou,Jalen Green,SG,Starter,,https://www.espn.com/nba/player/_/id/4437244/jalen-green,Depth Chart
Houston Rockets,hou,Dillon Brooks,PF,Starter,,https://www.espn.com/nba/player/_/id/3155526/dillon-brooks,Depth Chart
Houston Rockets,hou,Cam Whitmore,SF,4th,,https://www.espn.com/nba/player/_/id/5105592/cam-whitmore,Depth Chart
Houston Rockets,hou,Tari Eason,SF,2nd,,https://www.espn.com/nba/player/_/id/4433192/tari-eason,Depth Chart
Houston Rockets,hou,Jae'Sean Tate,SF,5th,O,https://www.espn.com/nba/player/_/id/3136777/jaesean-tate,Depth Chart
Houston Rockets,hou,Jabari Smith Jr.,PF,2nd,,https://www.espn.com/nba/player/_/id/4432639/jabari-smith-jr,Depth Chart
Houston Rockets,hou,Jeff Green,PF,4th,,https://www.espn.com/nba/player/_/id/3209/jeff-green,Depth Chart
Houston Rockets,hou,Alperen Sengun,C,Starter,,https://www.espn.com/nba/player/_/id/4871144/alperen-sengun,Depth Chart
Houston Rockets,hou,Steven Adams,C,2nd,,https://www.espn.com/nba/player/_/id/2991235/steven-adams,Depth Chart
Houston Rockets,hou,Jock Landale,C,3rd,O,https://www.espn.com/nba/player/_/id/3146557/jock-landale,Depth Chart
